datetime;nodes;channels;capacity
2023-11-21 00:00:00;13877;61456;540157831724
2023-11-20 00:00:00;13851;61422;538919732177
2023-11-19 00:00:00;13978;61771;536642724276
2023-11-18 00:00:00;13967;61777;536624738776
2023-11-17 00:00:00;13956;61769;535223343967
2023-11-16 00:00:00;14021;61996;536467686746
2023-11-15 00:00:00;14012;61984;536491571285
2023-11-14 00:00:00;14005;62031;535823965313
2023-11-13 00:00:00;13990;62041;534941335451
2023-11-12 00:00:00;14049;62248;534344064959
2023-11-11 00:00:00;14018;62172;534336891167
2023-11-10 00:00:00;13998;62190;533926799725
2023-11-09 00:00:00;13991;62344;535729822141
2023-11-08 00:00:00;13979;62334;536664156595
2023-11-07 00:00:00;13946;62261;536330480409
2023-11-06 00:00:00;13925;62242;538250313948
2023-11-05 00:00:00;13950;62393;538450286383
2023-11-04 00:00:00;13929;62339;536872275081
2023-11-03 00:00:00;13907;62226;536678706233
2023-11-02 00:00:00;13939;62297;535925489149
2023-11-01 00:00:00;13917;62170;535629794727
2023-10-31 00:00:00;13893;62111;533662588845
2023-10-30 00:00:00;13881;62073;533506954768
2023-10-29 00:00:00;13927;62350;532131489734
2023-10-28 00:00:00;13921;62256;531315775494
2023-10-27 00:00:00;13900;62212;530578549177
2023-10-26 00:00:00;13950;62275;528549256851
2023-10-25 00:00:00;14041;62374;529217112954
2023-10-24 00:00:00;14033;62451;529244692286
2023-10-23 00:00:00;14018;62476;528148579775
2023-10-22 00:00:00;14028;62510;535948405726
2023-10-21 00:00:00;14034;62962;539718385000
2023-10-20 00:00:00;14049;63237;543511613174
2023-10-19 00:00:00;14147;63529;542490414382
2023-10-18 00:00:00;14163;63543;542638567026
2023-10-17 00:00:00;14168;63529;540821657816
2023-10-16 00:00:00;14210;63532;537267485917
2023-10-15 00:00:00;14288;63646;534516805295
2023-10-14 00:00:00;14265;63486;533224999596
2023-10-13 00:00:00;14258;63422;530773822269
2023-10-12 00:00:00;14319;63530;527352901350
2023-10-11 00:00:00;14299;63406;524174597494
2023-10-10 00:00:00;14291;63565;524247293697
2023-10-09 00:00:00;14270;63574;530019569168
2023-10-08 00:00:00;14330;63783;535080305397
2023-10-07 00:00:00;14305;63786;534657649099
2023-10-06 00:00:00;14292;63701;533595492040
2023-10-05 00:00:00;14342;63843;532433068877
2023-10-04 00:00:00;14343;63801;530062169557
2023-10-03 00:00:00;14326;63511;503261691836
2023-10-02 00:00:00;14343;63063;477799178642
2023-10-01 00:00:00;14461;63108;450477569403
2023-09-30 00:00:00;14842;63976;450995659958
2023-09-29 00:00:00;14842;63979;449134759801
2023-09-28 00:00:00;14898;64057;447563698549
2023-09-27 00:00:00;14925;64066;445461821475
2023-09-26 00:00:00;15466;65878;448512909303
2023-09-25 00:00:00;15503;66937;472933168826
2023-09-24 00:00:00;15558;67435;476146305607
2023-09-23 00:00:00;15639;68888;490185938358
2023-09-22 00:00:00;15577;68676;489066394867
2023-09-21 00:00:00;15593;68769;492477832534
2023-09-20 00:00:00;15573;68720;492482244449
2023-09-19 00:00:00;15485;68335;490049783022
2023-09-18 00:00:00;15423;68083;488709278929
2023-09-17 00:00:00;15392;68034;488069741887
2023-09-16 00:00:00;15362;67813;486390678801
2023-09-15 00:00:00;15343;67720;485541938162
2023-09-14 00:00:00;15417;67921;485662959960
2023-09-13 00:00:00;15381;67829;483283778687
2023-09-12 00:00:00;15395;67660;481672247456
2023-09-11 00:00:00;15354;67387;480263626253
2023-09-10 00:00:00;15426;67684;480409221232
2023-09-09 00:00:00;15404;67661;479189678682
2023-09-08 00:00:00;15386;67645;483085611201
2023-09-07 00:00:00;15385;67596;480392175655
2023-09-06 00:00:00;15362;67298;480280907494
2023-09-05 00:00:00;15346;67088;478589760961
2023-09-04 00:00:00;15298;66816;475740582781
2023-09-03 00:00:00;15388;67044;474976286398
2023-09-02 00:00:00;15370;66959;474557290832
2023-09-01 00:00:00;15360;67072;473872512892
2023-08-31 00:00:00;15430;67242;473746644678
2023-08-30 00:00:00;15404;67172;472322079139
2023-08-29 00:00:00;15403;67087;470052917685
2023-08-28 00:00:00;15352;66887;466785824022
2023-08-27 00:00:00;15450;67195;480381349835
2023-08-26 00:00:00;15429;67090;478417808313
2023-08-25 00:00:00;15356;66884;474256855673
2023-08-24 00:00:00;15469;67159;472557095100
2023-08-23 00:00:00;15467;67327;472071772823
2023-08-22 00:00:00;15457;67363;471772854940
2023-08-21 00:00:00;15498;67372;470648805985
2023-08-20 00:00:00;15440;67215;467544719518
2023-08-19 00:00:00;15538;67762;470221135461
2023-08-18 00:00:00;15541;67816;470565291165
2023-08-17 00:00:00;15539;67833;472414533139
2023-08-16 00:00:00;15643;68173;472558245718
2023-08-15 00:00:00;15641;68268;478147493199
2023-08-14 00:00:00;15625;68218;476685366179
2023-08-13 00:00:00;15558;68061;477086630910
2023-08-12 00:00:00;15639;68305;477263078263
2023-08-11 00:00:00;15637;68295;477489785911
2023-08-10 00:00:00;15613;68143;477462550159
2023-08-09 00:00:00;15669;68321;478162928733
2023-08-08 00:00:00;15651;68253;475514798386
2023-08-07 00:00:00;15614;68204;476708714026
2023-08-06 00:00:00;15573;68017;474994351273
2023-08-05 00:00:00;15637;68241;478003728103
2023-08-04 00:00:00;15595;68154;476852580255
2023-08-03 00:00:00;15572;67992;475322975944
2023-08-02 00:00:00;15573;68130;476141990036
2023-08-01 00:00:00;15543;67952;479138569963
2023-07-31 00:00:00;15500;67796;478527430461
2023-07-30 00:00:00;15430;67553;476833706811
2023-07-29 00:00:00;15535;67933;476521831210
2023-07-28 00:00:00;15512;67886;475914435669
2023-07-27 00:00:00;15485;67845;475473874609
2023-07-26 00:00:00;15551;68035;473902035524
2023-07-25 00:00:00;15578;67972;474196214624
2023-07-24 00:00:00;15547;67997;501337996695
2023-07-23 00:00:00;15536;68017;500558209524
2023-07-21 00:00:00;0;0;0
2023-07-16 00:00:00;15568;68399;492231919560
2023-07-15 00:00:00;15559;68383;491864514985
2023-07-14 00:00:00;15489;68189;492543554261
